ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,7,374.4048,769.32,110.6388,2,0.2955058268483738,1,2,2,1,8,17,0.0,1
4,1,12,1495.6,1288.5,906.16,1,0.6058839261834715,1,1,1,1,1,0,0.0,0
2,1,7,7911726.08,12698596.25,0.0,0,0.0,1,1,0,1,17,0,72.85,0
6,1,1,0.0,18803.65,0.0,0,0.0,0,0,1,1,1,0,0.0,0
9,1,11,271.89,814.17,128.94,2,0.4742359042259738,1,1,0,1,13,4,0.0,1
6,1,5,1559.72,2684.54,0.0,0,0.0,0,0,0,1,1,0,8442.37,2
2,1,9,14198.52,36893.63,1180.45,3,0.0831389468761533,1,1,2,1,17,20,0.0,1
5,2,3,1864.84,606.6700000000001,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,3,4224.82,4818.67,952.2,2,0.2253823831547853,0,0,2,1,13,2,2078.4,1
5,2,1,1272.45,1353.43,0.0,0,0.0,0,0,0,0,10,0,0.0,2
2,1,3,113986.4,134423.89,40494.74,2,0.355259399366942,0,0,2,1,17,1,38051.3,0
5,2,4,989.32,859.03,243.85,2,0.2464824323777948,0,0,2,0,10,12,0.0,1
5,2,3,1104.05,364.04,0.0,0,0.0,0,0,0,0,10,0,2083.01,3
5,2,3,1118.89,383.0999999999999,0.0,0,0.0,0,0,0,0,10,0,5738.56,3
4,1,3,5007.030000000001,5163.690000000001,1242.4,2,0.2481311276345459,0,0,2,1,12,1,793.77,1
5,2,5,1026.34,882.49,291.6849,2,0.2841990958162013,0,0,2,0,10,15,0.0,1
5,2,1,0.0,420.89,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,254.28,0.0,0,0.0,0,0,0,0,10,0,0.0,2
8,0,5,1900.95,3153.370000000001,651.3552,2,0.3426472027144323,0,0,2,0,10,12,0.0,1
5,2,3,808.3499999999999,275.88,50.0,3,0.06185439475474733,0,0,1,0,10,0,0.0,0
6,1,13,29001.37,66067.55,0.0,0,0.0,1,1,0,1,13,0,0.0,3
6,1,1,9643.04,10181.75,0.0,0,0.0,0,0,0,1,7,0,0.0,1
5,2,18,4001.43,1084.74,0.0,0,0.0,1,0,0,0,10,0,0.0,3
4,1,2,1806.42,2318.77,0.0,0,0.0,0,0,0,1,12,0,0.0,1
9,1,9,2019.22,3418.25,1391.15,1,0.6889541506126129,1,1,0,1,8,19,0.0,0
5,2,3,1864.84,616.08,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,2,965.7,612.76,535.24,1,0.5542508025266646,0,0,2,1,17,2,974.94,0
5,2,3,5296.9,4211.14,1337.08,2,0.2524268912005135,0,0,2,0,10,2,7084.89,1
6,1,10,9811.529999999999,18949.96,0.0,0,0.0,1,1,0,1,7,0,23825.34,3
9,1,7,1216.88,2192.74,422.2731,2,0.3470129347182959,1,1,2,1,17,12,0.0,1
2,1,5,29355.99,49245.86,3931.55,3,0.1339266705023404,0,1,0,1,7,15,0.0,1
5,2,3,1864.84,1356.07,437.05,2,0.2343632697711332,0,0,2,0,10,1,3978.35,1
5,2,1,0.0,191.5,0.0,0,0.0,0,0,0,1,15,0,0.0,1
5,2,4,1039.0,195.0,0.0,0,0.0,0,0,0,0,10,0,0.0,3
2,1,10,1185.33,3343.85,0.0,0,0.0,1,1,0,1,15,0,0.0,2
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,808.3499999999999,364.55,0.0,0,0.0,0,0,0,0,10,0,124.2,3
9,1,10,2240.17,5484.79,201.1,3,0.08976997281456317,1,2,2,1,13,0,0.0,2
5,2,5,907.76,195.3,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,423.45,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,19,255.11,393.58,244.13,1,0.9569597428560229,1,1,2,1,13,3,0.0,0
6,1,8,3593.176000000001,1290.41,4275.6282,1,1.189930078571158,1,0,2,1,7,1,10421.17,0
5,2,1,0.0,420.89,0.0,0,0.0,0,0,0,0,10,0,0.0,2
2,1,9,785.4,2127.2,29.46,0,0.03750954927425516,1,1,2,1,17,19,0.0,2
5,2,3,1870.33,604.84,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,4,1061.27,195.01,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,3,819.3900000000001,377.78,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,2,8230.95,9528.72,0.0,0,0.0,0,0,0,1,12,0,476.2,1
4,1,4,25259.74,27671.59,8151.08,2,0.3226905740122424,0,1,2,1,2,12,2527.02,1
4,1,12,3630.63,498.56,2896.1,1,0.7976852502182816,1,2,2,1,17,21,0.0,0
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,1961.25,2
10,3,10,12972.12,37130.87,0.0,0,0.0,1,0,0,0,10,0,0.0,3
5,2,1,0.0,774.43,0.0,0,0.0,0,0,0,0,10,0,86.47,2
2,1,10,73222.92,191603.82,11893.21,3,0.1624246888815688,1,1,2,1,0,19,0.0,1
5,2,3,3749.74,2115.87,1329.05,2,0.3544379076949335,0,0,2,0,10,1,1287.67,1
6,1,7,75279.66,164694.22,0.0,0,0.0,1,2,0,1,8,0,0.0,3
6,1,9,401673.63,785810.96,0.0,0,0.0,1,1,0,1,1,0,0.0,3
9,1,1,8805.28,6735.64,2899.12,2,0.3292479058019733,0,0,2,1,13,1,19866.66,1
4,1,8,4766.639999999999,7464.46,0.0,0,0.0,1,0,0,1,0,0,0.0,3
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,782.28,821.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,5,90406.97,142492.63,0.0,0,0.0,0,0,0,1,17,15,0.0,2
9,1,19,1474.15,3224.64,643.82,2,0.4367398161652478,1,1,2,1,13,9,0.0,1
9,1,13,353.37,1120.04,108.87,2,0.3080906698361491,1,1,0,1,8,6,0.0,1
6,1,17,6436.4,16305.53,583.25,3,0.0906174258902492,1,1,2,1,15,7,0.0,1
9,1,8,554.652,641.93,783.1946,1,1.412046832969141,1,2,2,1,17,17,0.0,0
4,1,12,1777.86,435.38,1694.39,1,0.9530502964237905,1,1,2,1,1,21,0.0,0
5,2,5,935.74,228.35,1028.59,1,1.099226280804497,0,0,2,0,10,12,224.67,0
5,2,3,2057.25,1887.09,91.22,0,0.04434074614169401,0,0,1,0,10,0,0.0,0
5,2,1,1066.74,1120.09,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,10,9353.14,16196.65,2491.16,2,0.2663447783311272,1,1,2,1,17,15,0.0,1
5,2,9,707.94,1214.35,0.0,0,0.0,1,0,0,0,10,0,0.0,3
6,1,13,10188.74,22724.7,0.0,0,0.0,1,0,0,1,6,0,6704.02,2
5,2,7,1509.47,1457.49,687.3138,2,0.4553345213883019,1,0,2,0,10,15,0.0,1
5,2,4,8585.16,10837.56,0.0,0,0.0,0,0,0,0,10,0,154.4,3
6,1,1,22861.48,23948.94,0.0,0,0.0,0,2,0,1,13,0,0.0,3
5,2,3,1887.8,604.41,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,5,1365.51,1594.28,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,2,17539.67,19434.75,0.0,0,0.0,0,0,0,1,13,0,0.0,1
9,1,11,5588.75,9794.41,2089.72,2,0.3739154551554462,1,1,2,1,17,2,1953.5,1
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,15,518.4399999999999,158.01,609.76,1,1.176143816063576,1,1,2,1,13,20,0.0,0
5,2,3,1849.54,605.75,0.0,0,0.0,0,0,0,0,10,0,24741.69,3
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
10,3,4,1090.26,2182.01,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,15,19091.48,20325.03,16005.9,1,0.8383792141834997,1,0,2,1,6,20,0.0,0
6,1,1,12118.18,14419.64,0.0,0,0.0,0,0,0,1,17,0,48348.96,0
9,1,7,9504.48,22807.52,4017.26,2,0.4226701513391579,1,0,0,1,8,18,0.0,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,126.83,0.0,0,0.0,0,0,1,0,10,0,496.33,0
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,11,1408.41,434.86,1608.14,1,1.141812398378313,1,1,2,1,4,16,0.0,0
5,2,1,2841.52,3068.84,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,7,4285.81,4234.820000000001,858.9177,2,0.2004096541843899,1,0,2,0,10,15,0.0,1
4,1,12,35858.18,25276.96,27046.96,1,0.75427587233931,1,1,2,1,17,18,1520.25,0
5,2,1,1272.45,1353.43,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1380.27,606.87,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,7,12251.38,15220.35,3267.8106,2,0.2667300010284556,1,1,2,1,13,16,0.0,1
5,2,3,1878.03,605.36,0.0,0,0.0,0,0,0,0,10,0,160.45,3
5,2,1,0.0,1159.92,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,4,1011.24,1511.42,49.27,0,0.04872236066611289,0,0,2,1,9,2,3189.67,1
6,1,4,5300.1,1687.39,4623.08,1,0.8722627874945756,0,0,2,1,12,2,27223.14,0
4,1,3,2800.28,714.56,2363.27,1,0.8439406059394061,0,0,2,1,6,2,0.0,0
6,1,5,1395.82,307.02,1522.28,1,1.090599074379218,0,0,1,1,4,0,12625.27,0
2,1,5,157785.55,345077.17,0.0,0,0.0,0,0,0,1,0,0,3818.69,2
4,1,12,39334.06,14559.87,36021.55,1,0.9157851999005443,1,1,2,1,17,20,1999.76,0
5,2,3,1878.03,605.35,0.0,0,0.0,0,0,0,0,10,0,989.06,3
9,1,3,13371.96,16765.6,3052.63,2,0.228285905731097,0,0,2,1,17,2,8277.86,1
4,1,10,111.8,208.39,0.0,0,0.0,1,1,0,1,12,0,0.0,3
8,0,8,5274.29,6327.36,6501.8202,1,1.232738472856062,1,0,2,0,10,12,3093.72,0
5,2,3,1864.84,638.43,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,191.86,0.0,0,0.0,0,0,0,0,10,0,104.83,2
6,1,3,52440.92,74274.15999999999,0.0,0,0.0,0,0,0,1,8,0,5416.03,1
6,1,3,3894.4,3284.31,1071.48,2,0.275133525061627,0,0,1,1,12,0,68339.11,0
5,2,1,0.0,367.26,0.0,0,0.0,0,0,1,0,10,0,0.0,0
6,1,22,71668.45,64583.42,39953.45,1,0.5574761279196075,1,1,2,1,17,9,0.0,0
4,1,3,12856.47,3756.37,12489.04,1,0.9714206154566533,0,0,1,1,15,0,84656.5,0
5,2,3,4720.059999999999,4700.92,0.0,0,0.0,0,0,0,1,18,0,25335.29,1
5,2,3,2391.9,2058.33,271.79,3,0.1136293323299469,0,0,1,0,10,0,160.11,0
4,1,2,1761.4,2255.0,0.0,0,0.0,0,0,0,1,7,0,0.0,1
5,2,1,4974.87,4630.71,724.72,3,0.1456761684224915,0,0,1,0,10,0,1385.02,0
4,1,12,29434.78,53623.32,0.0,0,0.0,1,1,0,1,13,0,0.0,3
9,1,1,0.0,2835.88,0.0,0,0.0,0,0,2,1,0,1,0.0,1
5,2,5,1009.69,189.53,0.0,0,0.0,0,0,0,0,10,0,623.56,3
6,1,4,999.48,1579.66,0.0,0,0.0,0,0,0,1,15,0,32705.96,1
5,2,5,1213.98,1157.31,312.7229,2,0.257601360813193,0,0,2,0,10,15,211.26,1
5,2,1,0.0,97.84,0.0,0,0.0,0,0,1,0,10,0,0.0,0
4,1,4,18006.59,24179.99,0.0,0,0.0,0,2,0,1,17,0,0.0,3
5,2,3,1862.67,604.41,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,4,1074.72,888.1,362.53,2,0.3373250707160935,0,0,2,0,10,2,0.0,1
9,1,1,0.0,8078.24,0.0,0,0.0,0,0,1,1,0,0,0.0,0
4,1,1,3376.09,2747.58,641.11,3,0.1898971887597783,0,0,1,1,17,0,1501.43,0
9,1,10,22854.99,56326.11,369.71,0,0.01617633610865724,1,1,0,1,13,21,644.89,3
5,2,4,1002.91,189.06,0.0,0,0.0,0,0,0,0,10,0,421.13,3
4,1,3,3737.85,2942.88,1855.07,2,0.4962933237021282,0,0,2,1,12,2,0.0,1
9,1,2,8256.61,1073.36,9032.81,1,1.094009526912377,0,0,1,1,13,0,29276.29,0
5,2,4,207.07,225.12,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,1,2618.37,3094.15,0.0,0,0.0,0,0,0,1,7,0,0.0,1
2,1,4,10882.3,17926.51,1598.1,3,0.1468531468531468,0,1,1,1,0,0,0.0,0
6,1,5,37818.09,51955.57999999999,8266.64,2,0.2185895691717905,0,0,0,1,12,15,0.0,1
5,2,1,0.0,620.31,0.0,0,0.0,0,0,1,0,10,0,0.0,0
5,2,3,1353.21,606.87,0.0,0,0.0,0,0,0,0,10,0,1558.75,3
5,2,1,1471.86,1565.22,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,18,467.98,1633.28,981.59,1,2.097504166844737,1,1,0,1,18,10,0.0,0
5,2,3,1887.8,604.41,0.0,0,0.0,0,0,0,0,10,0,2545.24,3
9,1,10,16558.09,43566.17,5072.74,2,0.3063602142517645,1,1,0,1,8,21,0.0,1
5,2,3,811.93,363.98,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,1790.06,0.0,0,0.0,0,0,1,0,10,0,0.0,0
9,1,20,2512.61,8008.48,9381.03,1,3.733579823370917,1,1,0,1,17,10,0.0,0
6,1,1,6158.38,6148.85,0.0,0,0.0,0,0,0,1,12,0,0.0,1
9,1,4,10911.04,12626.01,714.42,3,0.0654768014781359,0,0,2,1,12,1,23408.5,2
9,1,8,83064.02,180634.57,50258.8213,1,0.6050612684047799,1,0,2,1,13,17,0.0,0
5,2,4,1442.07,266.3,0.0,0,0.0,0,0,0,1,18,0,3306.14,1
5,2,1,1701.95,1826.42,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1104.05,364.04,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,3,0.0,11255.93,0.0,0,0.0,0,2,1,1,13,0,18753.0,0
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,10,1282.92,2431.08,0.0,0,0.0,1,1,0,1,13,0,0.0,3
5,2,5,1117.42,270.06,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1870.33,604.84,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,4,1033.26,189.26,0.0,0,0.0,0,0,0,0,10,0,82.45,3
6,1,1,61389.51,66548.0,0.0,0,0.0,0,0,0,1,12,1,46498.01,1
9,1,11,184417.57,452192.6,62057.26,2,0.3365040543588119,1,1,2,1,18,21,0.0,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,3,5147.860000000001,6524.86,0.0,0,0.0,0,2,0,1,18,12,0.0,3
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,961.35,429.98,0.0,0,0.0,0,2,0,1,11,0,38951.27,3
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,1,10,0,16083.28,2
9,1,1,0.0,43742.54,0.0,0,0.0,0,0,1,1,1,0,0.0,0
5,2,4,3711.34,918.72,0.0,0,0.0,0,0,0,0,10,0,559.45,3
4,1,1,18126.76,20498.75,363.56,0,0.02005653519989231,0,0,2,1,13,1,1160.77,1
5,2,3,1802.91,606.87,0.0,0,0.0,0,0,0,0,10,0,0.0,3
