ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
5,2,1,0.0,423.45,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,12,594.2,964.35,0.0,0,0.0,1,0,0,0,10,0,1241.99,3
4,1,1,5424.389999999999,6288.28,0.0,0,0.0,0,0,0,1,17,0,0.0,1
5,2,7,3203.03,2345.41,2642.1191,1,0.8248811594021911,1,0,2,0,10,12,0.0,0
5,2,1,0.0,774.89,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,7,12851.13,29318.4,0.0,0,0.0,1,0,0,1,13,18,0.0,3
5,2,3,1870.33,587.34,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
11,3,6,77635.03,188837.63,0.0,0,0.0,0,0,0,1,17,0,305859.55,0
4,1,2,71.46,91.67,0.0,0,0.0,0,0,0,1,9,0,0.0,1
5,2,1,0.0,680.69,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,5,1701.84,399.88,1581.88,1,0.9295115874582806,0,0,2,0,10,15,937.11,0
5,2,3,811.93,363.99,0.0,0,0.0,0,0,0,0,10,0,144.39,3
5,2,1,0.0,192.71,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,3,7568.78,10321.35,307.95,0,0.04068687423864877,0,0,2,1,13,12,0.0,1
8,0,13,626.82,2126.48,0.0,0,0.0,1,0,0,0,10,0,1242.3,3
5,2,3,815.1199999999999,604.39,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
2,1,11,23023.06,52800.08,24348.81,1,1.057583570559257,1,1,2,1,9,18,0.0,0
9,1,16,1298.48,4824.46,358.98,2,0.2764617090752265,1,1,2,1,13,1,386.79,1
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,192.01,0.0,0,0.0,0,0,1,0,10,0,0.0,0
5,2,1,0.0,423.45,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,4,3743.2,2799.74,1955.97,1,0.5225395383628981,0,0,2,1,18,12,7123.74,0
9,1,20,1703.78,5144.88,627.34,2,0.3682048151756682,1,1,2,1,17,7,0.0,1
6,1,5,62325.58,12348.36,95271.07,1,1.528603023028426,0,0,1,1,11,0,837461.92,0
6,1,9,14840.91,16463.41,6216.36,2,0.4188664980786219,1,1,2,1,15,18,3282.85,1
5,2,4,1087.53,214.63,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,7,6366.42,754.14,6468.4239,1,1.016022175728274,1,0,2,0,10,18,1878.62,0
6,1,18,2230.9,6001.89,0.0,0,0.0,1,1,0,1,17,0,0.0,2
9,1,3,27151.3,29979.86,0.0,0,0.0,0,0,0,1,17,2,11013.52,0
5,2,1,2550.66,2749.78,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,3,3567.51,2506.7,2113.8,1,0.5925141064776274,0,0,2,1,17,1,16563.71,0
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
2,1,17,1188.26,4507.5,0.0,0,0.0,1,1,0,1,8,0,0.0,3
5,2,3,1849.54,605.75,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,3,15994.64,13111.1,3264.724,2,0.2041136280654019,0,0,2,0,10,12,1975.5,1
